#package,clone,doc,homepage
calcbiz,https://github.com/ultreme/camembert-au-lait-crew,https://github.com/ultreme/camembert-au-lait-crew,https://github.com/ultreme/camembert-au-lait-crew
moi-j-aime-generator,https://github.com/ultreme/moi-j-aime-generator,https://github.com/ultreme/moi-j-aime-generator,https://github.com/ultreme/moi-j-aime-generator
recettator,https://github.com/ultreme/recettator,https://github.com/ultreme/recettator,https://github.com/ultreme/recettator
kryptos,https://github.com/ultreme/kryptos,https://github.com/ultreme/kryptos,https://github.com/ultreme/kryptos
